title,artist,genre,moods,release_date,version,download_url,cover_url
Echoes,"criticaleye, SHIRO, dolshi",Witch House,"Witch House, dark, energetic, relaxed",31 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/939/echoes-1753920071-ifL816qHm9.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/939/100x100/echoes-1753920069-8AaZyYITqf.png
digital death,Kim,Witch House,"Witch House, dramatic, majestic, energetic",29 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/938/digital-death-1753747264-AO6BW8pMLN.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/938/100x100/digital-death-1753747262-shgPd7e2QJ.png
Overheat,Cartoon,Drum & Bass,"Drum & Bass, dark, energetic",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/933/overheat-1753401663-XiLNKZXuMQ.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/933/100x100/overheat-1753401661-jCw57CrERF.jpg
Do It All,Cartoon,Drum & Bass,"Drum & Bass, dark, energetic",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/934/do-it-all-1753401672-mqUmgLQl39.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/934/100x100/do-it-all-1753401670-NWheLbYfQb.jpg
Whiplash,Cartoon,Drum & Bass,"Drum & Bass, energetic, exciting, powerful",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/935/whiplash-1753401678-PIShhKSwKc.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/935/100x100/whiplash-1753401676-JTecfK3BPO.jpg
Spicy,Cartoon,Dubstep,"Dubstep, energetic, exciting, dramatic",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/936/spicy-1753401685-iT8S1vbWcj.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/936/100x100/spicy-1753401683-lCxhgFEIkO.jpg
Dependant,Cartoon,Drum & Bass,"Drum & Bass, dramatic, powerful, positive",25 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/937/dependant-1753401691-ERQ9HipO4q.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/937/100x100/dependant-1753401689-szCyQtIzQf.jpg
Sky Verse,"Lieless, Luuna, Yarimov",Brazilian Phonk,"Brazilian Phonk, exciting",24 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/932/sky-verse-1753315264-yJlMg65j6p.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/932/100x100/sky-verse-1753315261-E7DGvky63q.jpg
Her Body,"QKReign, DMHP_SKN",Jersey Club,"Jersey Club, energetic, exciting",22 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/930/her-body-1753142465-rCKeoztiLi.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/930/100x100/her-body-1753142463-mLaEHq78ih.png
soulforge,"dezoliar, glossier, TWISTED",Witch House,"Witch House, dark, energetic, majestic",22 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/931/soulforge-1753142469-k8MlCPfbNw.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/931/100x100/soulforge-1753142468-Y3LABgMgp6.jpg
Euphoria,"Cartoon, VALLO, KAZHI, Blooom",Drum & Bass,"Drum & Bass, energetic, exciting, powerful",18 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/929/euphoria-1752796864-8afg8OUTHY.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/929/100x100/euphoria-1752796862-7bFNs2A8kL.png
The Sound,"Fluorescents, Mazare",Drum & Bass,"Drum & Bass, energetic, exciting, positive",17 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/928/the-sound-1752710465-tuslnyGztG.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/928/100x100/the-sound-1752710462-a8OV9dEaHf.png
On My Mind,"Slenderino, Tatsunoshin",Hardcore,"Hardcore, energetic, exciting, powerful",15 Jul 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/927/on-my-mind-1752537664-RVzObzOTfO.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/927/100x100/on-my-mind-1752537662-o1e8Qqtl6d.jpg
Victim,"STM, MRJay",Witch House,"Witch House, dark, energetic, dramatic",11 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/926/victim-1752192064-VnCE1Bv0RG.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/926/100x100/victim-1752192062-5E5Nbx4z0a.jpg
All I Need,"jeonghyeon, SUNGYOO",Future House,"Future House, energetic, powerful",10 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/925/all-i-need-1752105664-i7xcxePI5E.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/925/100x100/all-i-need-1752105662-Wrikk0L6OX.jpg
miffy cafe,sakuracloud,Lofi Hip-Hop,"Lofi Hip-Hop, relaxed",8 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/924/miffy-cafe-1752058862-g0Mxp2jNdj.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/924/100x100/miffy-cafe-1752058860-YiqW3IIGPt.png
So Sweet,"ALEXYS, Strn.",Speed Garage,"Speed Garage, energetic, powerful",4 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/922/so-sweet-1751587262-1UEtP6sHvl.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/922/100x100/1751628953_zX0RA73CDw_ALEXYS-Strn.---So-Sweet-Cover-Art.png
ROCK PAPER SCISSORS!,Dyolow,Pluggnb,"Pluggnb, energetic, exciting",3 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/921/rock-paper-scissors-1751500864-pFZm0Uogll.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/921/100x100/rock-paper-scissors-1751500862-WE2igIca6P.png
musicismytherapy,chy deep,Drum & Bass,"Drum & Bass, exciting, energetic",1 Jul 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/920/1751470373_4mshqlS4k1_chy-deep---musicismytherapy.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/920/100x100/musicismytherapy-1751328061-RLnJZwX3Ws.jpg
ghost,youth®,Indie Dance,"Indie Dance, romantic, energetic, exciting",27 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/917/ghost-1751025660-io22pBCfSr.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/917/100x100/ghost-1751025658-VidT6QnM2c.jpg
snake eyes,youth®,,"energetic, dramatic, powerful",27 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/918/snake-eyes-1751025663-4rEVt9WCxp.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/918/100x100/snake-eyes-1751025661-qkbFtd9axD.jpg
a little break,youth®,Breakbeat,"Breakbeat, exciting, neutral",27 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/919/a-little-break-1751025665-W37nUToerg.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/919/100x100/a-little-break-1751025664-A74k7OLSOZ.jpg
Time,wayudance,Trap,"Trap, energetic, powerful",26 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/916/time-1750896062-joS08R6oI9.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/916/100x100/time-1750896060-ZpuHFPTwSw.png
Need You Again,"SadBois, ROY KNOX, Jake Neumar",Melodic Dubstep,"Melodic Dubstep, dramatic, sad, powerful",24 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/915/need-you-again-1750780861-VYEjPSYWYk.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/915/100x100/need-you-again-1750780859-c0gWPkVEhc.jpg
tell me why,youth®,Dance-Pop,"Dance-Pop, energetic, neutral, powerful, exciting",20 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/912/tell-me-why-1750377670-UKrVCagSme.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/912/100x100/tell-me-why-1750377669-21WY9pZfx8.jpg
Wait A While (ft. Pasha & m els),"m els, Pasha, Leowi, Cartoon",Speed Garage,"Speed Garage, exciting, energetic",20 Jun 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/914/1750411466_U8goDeMwPk_01-Cartoon-LEOWI---Wait-A-While-feat.-Pasha--m-els-NCS-Release.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/914/100x100/wait-a-while-ft-pasha-m-els-1750377677-2Sr8HAcw4J.png
Sirens,"Amber Jay, More Plastic",Drum & Bass,"Drum & Bass, powerful, exciting, energetic",19 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/910/sirens-1750291264-j7eI3iqDhL.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/910/100x100/sirens-1750291263-Yo6Zy6nn4p.jpg
Ghost Of Me,"Prong, BOTCASH, Justin OH",Melodic Dubstep,"Melodic Dubstep, powerful, exciting, energetic",17 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/909/ghost-of-me-1750118462-TaoZ8RUoBz.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/909/100x100/ghost-of-me-1750118460-1wcvsrNskQ.png
stuck in my head!,youth®,Hyperpop,"Hyperpop, energetic, powerful, exciting",13 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/908/stuck-in-my-head-1749772863-rPqCNSW3oe.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/908/100x100/stuck-in-my-head-1749772860-1dIbu6YpK5.jpg
THE REDEEMER,"BVSSL7ON, ANIZYZ",Brazilian Phonk,"Brazilian Phonk, energetic, powerful, dramatic",12 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/907/the-redeemer-1749686466-xKHJDkf3VU.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/907/100x100/the-redeemer-1749686462-OiTdxWXHMS.jpg
Hit The Ground,"LULO, kaya!",Electro House,"Electro House, energetic, exciting, dramatic",10 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/906/hit-the-ground-1749513664-VVUMdziUSN.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/906/100x100/hit-the-ground-1749513661-s2wWLrXFO9.png
VEM LENTA!,"KPHK, Eluvo, Sayfalse",Brazilian Phonk,"Brazilian Phonk, exciting, dark",6 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/905/vem-lenta-1749168063-Go69o98QIG.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/905/100x100/vem-lenta-1749168061-CmpXE19Jdp.png
X2,MUPP,Brazilian Phonk,"Brazilian Phonk, sad, energetic, romantic",5 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/904/x2-1749081663-OsDJ79GqE6.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/904/100x100/x2-1749081661-dfXbnb58pO.png
Rush,nomu.,Hyperpop,"Hyperpop, energetic, relaxed, neutral",3 Jun 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/903/rush-1748908862-F6nFVZ0D9Q.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/903/100x100/rush-1748908859-RPlW1dU9lu.png
Reason,"Nito-Onna, Mangoo",House,"House, energetic, majestic, dark",30 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/902/reason-1748563259-ByGQnPvApG.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/902/100x100/reason-1748563257-HR0Yv32lYA.png
Loner,"NOYSE, Rudeejay",Dance-Pop,"Dance-Pop, energetic, powerful, dramatic",29 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/901/loner-1748476859-Ozyxekwdra.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/901/100x100/loner-1748476858-lUYNYVwpCI.jpg
Missing Life,"gabriawll, QKReign",RnB,"RnB, dramatic, sad, dark",28 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/900/missing-life-1748390462-IoxHeRfzLP.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/900/100x100/missing-life-1748390460-IcnTNjPFiB.png
Around Us (ft. Pasha & Carlos Ukareda),"Pasha, Carlos Ukareda, VALLO, NCT, Cartoon",Drum & Bass,"Drum & Bass, exciting, positive, romantic, powerful, majestic, energetic, dramatic",23 May 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/898/1747994883_Z0rLbOcy5Z_Cartoon-NCT-VALLO---Around-Us-ft.-Pasha--Carlos-Ukareda.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/898/100x100/1747994850_tmS6IgPj5N_Cartoon-NCT-Vallo---Around-Us-ft.-Pasha--Carlos-Ukareda-Cover-Art-PNG.png
lover online,Zachz Winner,Pluggnb,"Pluggnb, positive, relaxed",23 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/899/lover-online-1747962068-nwiMWDVCC6.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/899/100x100/lover-online-1747962066-fRKRZ0h0Hv.jpg
Can't Heal You,Bad Computer,Electro House,"Electro House, dramatic, energetic",22 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/897/cant-heal-you-1747900858-CIGwlziCQp.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/897/100x100/1747933910_crDg0Nr6H6_cant-heal-you-artwork.png
Let Go,Conro,House,"House, energetic, exciting",20 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/895/let-go-1747738859-uGxxJawndy.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/895/100x100/let-go-1747738857-Vbpik8CUtX.jpg
Goodbye My Love,Irokz,Progressive House,"Progressive House, dramatic, energetic, exciting",16 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/894/goodbye-my-love-1747353661-jA3mXE9qXR.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/894/100x100/1747405970_LDM0rs3Cip_IRV1.png
Like Fire,"Apollo On The Run, Immy Odon, Biometrix",Melodic Dubstep,"Melodic Dubstep, energetic, exciting, powerful",15 May 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/893/like-fire-1747267263-K8BHn8dXi4.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/893/100x100/like-fire-1747267261-XL3TK9FCq7.jpg
Alive,Tamlin,Disco,"Disco, exciting, positive",13 May 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/892/alive-1747094459-lPjurAlNuY.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/892/100x100/1747150157_9C3w1dwmfZ_tamlin---alive-shrunk.jpg
Montagem Toma,"X972, sk3tch01, MXZI",Brazilian Phonk,"Brazilian Phonk, dramatic, majestic, powerful",9 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/891/1748533196_2w2lQuHMYe_MXZI-sk3tch01-X972---Montagem-Toma.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/891/100x100/montagem-toma-1746748860-6K4yovfivX.png
TEMPO,SUPXR,Hyperpop,"Hyperpop, energetic, positive, tense",2 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/884/tempo-1746144064-ibHxFbKCm1.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/884/100x100/tempo-1746144062-m9xIUdUelY.jpg
TEMPO (Slowed),SUPXR,Hyperpop,"Hyperpop, energetic, positive, tense",2 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/885/tempo-slowed-1746144068-aNNywaEwGn.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/885/100x100/tempo-slowed-1746144066-csUf1ByQCQ.jpg
Royalty Funk,LXNGVX,Brazilian Phonk,"Brazilian Phonk, energetic, positive, tense",2 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/889/royalty-funk-1746180063-cNbhXdKFRf.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/889/100x100/royalty-funk-1746180059-mUfwZVybPN.png
Ghost In The Wall,"Gaash, Whales",Drum & Bass,"Drum & Bass, exciting, energetic, powerful",1 May 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/883/ghost-in-the-wall-1746057658-2TLJS9lvcN.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/883/100x100/ghost-in-the-wall-1746057656-0yzSsRAJRF.jpg
So Good,More Plastic,Drum & Bass,"Drum & Bass, energetic, exciting",29 Apr 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/882/so-good-1745884858-CkVJa5s2T5.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/882/100x100/so-good-1745884856-vwpV9PmcyC.jpg
Made For The Game (ft. Kazhi),"AC13, KAZHI, Jessee, Cartoon",Dance-Pop,"Dance-Pop, powerful, majestic, energetic, dramatic, positive, exciting",25 Apr 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/881/1745595149_YnDptFoNMX_Cartoon---Made-For-The-Game.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/881/100x100/1745595149_TUaaccTBtm_final.jpg
fellshortofhell,THIRST,Phonk,"Phonk, dark, dramatic, tense",22 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/880/fellshortofhell-1745280069-HhfrK6Gkjv.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/880/100x100/fellshortofhell-1745280067-J3VsPodyUr.jpg
cut you off,kitz,Hyperpop,"Hyperpop, energetic, exciting",18 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/879/cut-you-off-1744934457-fPKiGcNbim.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/879/100x100/cut-you-off-1744934455-a6KmalhYWz.png
Intranet Crush,"hiræth, Willix",Brazilian Phonk,"Brazilian Phonk, energetic, powerful",17 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/878/intranet-crush-1744848056-W4gwjwA0UE.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/878/100x100/intranet-crush-1744848054-3BnwnWaDmX.png
Runaway,"Nytrix, Chime",Melodic Dubstep,"Melodic Dubstep, energetic, exciting, majestic, positive",15 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/877/runaway-1744675262-y9bfHJrSCY.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/877/100x100/runaway-1744675259-ICfUDtmgCl.jpg
Shine (Neddie Flip),"Neddie, Spektrem",Colour Bass,"Colour Bass, energetic, powerful, positive",11 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/876/1744639599_6vpA0S8bTO_01-Spektrem---Shine-Neddie-Flip-NCS-Release.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/876/100x100/shine-neddie-flip-1744329659-IiVnuZdVvy.png
Sky High x Feel Good Mashup,"Elektronomia, Syn Cole",House,"House, powerful, dramatic, energetic",8 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/875/sky-high-x-feel-good-mashup-1744110059-kdyPjTimw8.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/875/100x100/sky-high-x-feel-good-mashup-1744110058-9Z7X0XldXy.jpg
TRANSFER (Slowed),SUPXR,Hyperpop,"Hyperpop, energetic, positive, tense",4 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/873/1744016475_oTP46iWZih_SUPXR---TRANSFER-Slowed.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/873/100x100/transfer-slowed-1743724860-JcwdrkI1r5.jpg
TRANSFER,SUPXR,Hyperpop,"Hyperpop, energetic, positive, tense",4 Apr 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/874/1744016489_FkNXPPUFrR_SUPXR---TRANSFER.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/874/100x100/transfer-1743724863-ADEsjvtctX.jpg
Fading Light,Fytch,Melodic Dubstep,"Melodic Dubstep, powerful, dramatic, energetic",3 Apr 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/872/fading-light-1743638460-9psUiNAmpv.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/872/100x100/fading-light-1743638458-dMxWRAzl1Z.png
Dunes,Warriyo,Dubstep,"Dubstep, powerful, dramatic, energetic",28 Mar 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/869/dunes-1743123657-TkJfW0C51C.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/869/100x100/dunes-1743123656-XBnt8PrH9P.jpg
Signs,Naym,Alternative Pop,"Alternative Pop, powerful, energetic, neutral",28 Mar 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/870/signs-1743523256-kbzCyA7POt.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/870/100x100/1743523494_BJcBva7qcN_Untitled-1-copy.jpg
River,Naym,Alternative Pop,"Alternative Pop, powerful, energetic, neutral",28 Mar 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/871/river-1743523259-9XWGyUxFUE.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/871/100x100/river-1743523258-DECiWK1xNv.jpg
DANÇA DO VERÃO,"Scythermane, SH3RWIN, NXGHT!",Phonk,"Phonk, angry, dark, energetic, exciting, majestic",27 Mar 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/868/danca-do-verao-1743037257-McMvNvZjhY.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/868/100x100/danca-do-verao-1743037255-1bKZd8zK8n.jpg
Move Like This,Bad Computer,House,"House, energetic, exciting",25 Mar 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/867/move-like-this-1742904058-cxjnrl1CT5.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/867/100x100/move-like-this-1742904057-brzeqL1Gp1.jpg
Bounce On Da Riddim (ft. Emily J),"Emily J, Cartoon, Southby, NCT",Drum & Bass,"Drum & Bass, energetic, exciting, positive",21 Mar 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/866/bounce-on-da-riddim-ft-emily-j-1742518856-kaWSAM8RXf.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/866/100x100/bounce-on-da-riddim-ft-emily-j-1742518855-azYHbrCH1W.jpg
Carry On,"Anna Yvette, Lost Sky",Trap,"Trap, energetic, exciting, positive",20 Mar 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/865/carry-on-1742432457-pMLHKSFPJC.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/865/100x100/carry-on-1742432455-gDPDd8i5XU.jpg
All Or Nothing,"No Hero, Tatsunoshin",Hardcore,"Hardcore, powerful, energetic, neutral",18 Mar 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/864/all-or-nothing-1742259656-iJZxWWcZ7Y.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/864/100x100/all-or-nothing-1742259654-EKtAHFBDZm.png
Dancefloor Dreamer,NIVIRO,Trance,"Trance, energetic, exciting, positive",14 Mar 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/863/dancefloor-dreamer-1741914058-lTh4V56Tbf.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/863/100x100/dancefloor-dreamer-1741914055-3JjXxIkd4U.png
Lighthouse (feat. PhiloSofie),"PhiloSofie, Azertion, JJD",Future Bass,"Future Bass, dramatic, energetic, powerful",13 Mar 2025,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/862/lighthouse-feat-philosofie-1741827658-EKeY0F5YVN.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/862/100x100/lighthouse-feat-philosofie-1741827656-hDRVcdP2FL.jpg
Live Your Life,Tobu,Futurepop,"Futurepop, energetic, exciting, positive",11 Mar 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/861/live-your-life-1741654859-yFnsN7SUFj.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/861/100x100/live-your-life-1741654856-2nQueoDu5k.png
Love Letter,m3gatron,Electronic Pop,"Electronic Pop, energetic, exciting, positive",7 Mar 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/860/love-letter-1741309257-qbG1Wm3rEm.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/860/100x100/love-letter-1741309256-nO2BEYBfgh.jpg
Back To Default,Immy Odon,Drum & Bass,"Drum & Bass, energetic, positive, powerful",6 Mar 2025,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/859/back-to-default-1741222859-siO0QZuNyY.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/001/859/100x100/back-to-default-1741222856-zZLCd3hmtd.jpg
