title,artist,genre,moods,release_date,version,download_url,cover_url
Choices,PatrickReza,EDM,"EDM, Quirky, Restless, Weird, energetic",17 Jul 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/650/choices-1586958878-WqW0qrgS4B.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/650/100x100/choices-1586958871-L3orF0dLD3.jpg
War Zone (ft. M.I.M.E),"Unknown Brain, M.I.M.E",Bass,"Bass, energetic, Angry, Epic, Gloomy",12 Jul 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/649/war-zone-ft-mime-1586958862-uOdchVMspI.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/649/100x100/war-zone-ft-mime-1586958856-RK8C6g2w4R.jpg
Olympus,32Stitches,Trap,"Trap, Dark, Restless, Gloomy, energetic, Suspense, scary",10 Jul 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/648/olympus-1586958851-jjGqDazcY1.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/648/100x100/olympus-1586958846-PcWtp2nnhk.jpg
You & Me,"NEZZY, Coopex",Electronic,"Electronic, romantic, Sexy, Peaceful, Laid Back",5 Jul 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/647/you-me-1586958836-Gorpy3xG9B.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/647/100x100/you-me-1586958828-trpBx20Mzq.jpg
Places Like That,Ascence,Trap,"Trap, Quirky, Weird, energetic, Restless, Dark",3 Jul 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/646/places-like-that-1586958819-LFXqizQLRS.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/646/100x100/places-like-that-1586958814-y3DVI4HMaB.jpg
Lightning Child (feat. Remi Willow),"Raiko, Remi Willow",Drumstep,"Drumstep, Quirky, Weird, energetic, Restless, Happy, Hopeful",28 Jun 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/645/lightning-child-feat-remi-willow-1586958795-PkAuZXW753.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/645/100x100/lightning-child-feat-remi-willow-1586958791-EauMhzjFGH.jpg
Humanity,Max Brhon,Electronic,"Electronic, Gloomy, energetic, Epic, scary, Fear",26 Jun 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/644/humanity-1586958776-uEXodssClp.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/644/100x100/humanity-1586958772-d7oI5i4MCq.jpg
Arabian Nights,"RudeLies, Facading",Future House,"Future House, Quirky, Weird, energetic, Restless",21 Jun 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/642/arabian-nights-1586958722-eCcnavEltX.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/642/100x100/arabian-nights-1586958719-gClhplzAfi.jpg
Wild Side (feat. Riell),"Hoober, Riell",Electronic,"Electronic, energetic, Happy, Hopeful, Euphoric",21 Jun 2019,"Regular, Instrumental",https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/643/wild-side-feat-riell-1586958751-q3OKPkyUSI.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/643/100x100/wild-side-feat-riell-1586958746-eZ4wXRmCJA.jpg
Find A Way Out,"Aeden, Harley Bird",Drum & Bass,"Drum & Bass, Hopeful, Happy, Euphoric, energetic",19 Jun 2019,Regular,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/641/find-a-way-out-1586958708-qdYJw9yzWs.mp3,https://ncsmusic.s3.eu-west-1.amazonaws.com/tracks/000/000/641/100x100/find-a-way-out-1586958704-1xqx5Q0vuM.jpg
